Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
T1001,2024-01-05,C1001,Male,32,Electronics,2,1200,2400
T1002,2024-01-05,C1002,Female,27,Clothing,3,450,1350
T1003,2024-01-06,C1003,Male,45,Electronics,1,85000,85000
T1004,2024-01-06,C1004,Female,31,Beauty,4,350,1400
T1005,2024-01-07,C1005,Male,38,Sports,2,2500,5000
T1006,2024-01-07,C1006,Female,24,Electronics,1,4999,4999
T1007,2024-01-08,C1007,Male,55,Home,3,1200,3600
T1008,2024-01-08,C1008,Female,29,Clothing,2,899,1798
T1009,2024-01-09,C1009,Male,41,Electronics,1,32999,32999
T1010,2024-01-09,C1010,Female,36,Books,5,299,1495
T1011,2024-01-10,C1011,Male,28,Electronics,2,1999,3998
T1012,2024-01-10,C1012,Female,33,Beauty,3,599,1797
T1013,2024-01-11,C1013,Male,47,Sports,1,4500,4500
T1014,2024-01-11,C1014,Female,22,Clothing,4,699,2796
T1015,2024-01-12,C1015,Male,39,Electronics,1,69999,69999
T1016,2024-01-12,C1016,Female,44,Home,2,2200,4400
T1017,2024-01-13,C1017,Male,30,Books,6,199,1194
T1018,2024-01-13,C1018,Female,26,Electronics,1,8499,8499
T1019,2024-01-14,C1019,Male,52,Sports,2,3200,6400
T1020,2024-01-14,C1020,Female,35,Clothing,3,550,1650
T1021,2024-01-15,C1021,Male,43,Electronics,1,7499,7499
T1022,2024-01-15,C1022,Female,28,Beauty,5,299,1495
T1023,2024-01-16,C1023,Male,37,Home,2,3500,7000
T1024,2024-01-16,C1024,Female,31,Electronics,1,4299,4299
T1025,2024-01-17,C1025,Male,49,Sports,3,1500,4500
T1026,2024-01-17,C1026,Female,25,Clothing,2,1200,2400
T1027,2024-01-18,C1027,Male,34,Electronics,2,2499,4998
T1028,2024-01-18,C1028,Female,40,Books,4,399,1596
T1029,2024-01-19,C1029,Male,56,Home,1,13999,13999
T1030,2024-01-19,C1030,Female,27,Electronics,1,5499,5499
T1031,2024-01-20,C1031,Male,32,Sports,2,2800,5600
T1032,2024-01-20,C1032,Female,38,Beauty,3,450,1350
T1033,2024-01-21,C1033,Male,45,Electronics,1,89999,89999
T1034,2024-01-21,C1034,Female,29,Clothing,4,750,3000
T1035,2024-01-22,C1035,Male,41,Home,2,1800,3600
T1036,2024-01-22,C1036,Female,33,Electronics,1,1999,1999
T1037,2024-01-23,C1037,Male,48,Books,5,249,1245
T1038,2024-01-23,C1038,Female,26,Sports,2,2100,4200
T1039,2024-01-24,C1039,Male,35,Electronics,2,4499,8998
T1040,2024-01-24,C1040,Female,42,Clothing,3,650,1950
T1041,2024-01-25,C1041,Male,51,Beauty,4,350,1400
T1042,2024-01-25,C1042,Female,30,Electronics,1,13999,13999
T1043,2024-01-26,C1043,Male,37,Home,3,900,2700
T1044,2024-01-26,C1044,Female,24,Sports,2,3500,7000
T1045,2024-01-27,C1045,Male,44,Electronics,1,61999,61999
T1046,2024-01-27,C1046,Female,28,Books,6,199,1194
T1047,2024-01-28,C1047,Male,53,Clothing,2,1100,2200
T1048,2024-01-28,C1048,Female,31,Electronics,1,8499,8499
T1049,2024-01-29,C1049,Male,39,Beauty,3,699,2097
T1050,2024-01-29,C1050,Female,46,Home,2,4500,9000
T1051,2024-02-01,C1051,Male,32,Electronics,1,4999,4999
T1052,2024-02-01,C1052,Female,27,Clothing,3,550,1650
T1053,2024-02-02,C1053,Male,45,Sports,2,2200,4400
T1054,2024-02-02,C1054,Female,38,Electronics,1,32999,32999
T1055,2024-02-03,C1055,Male,29,Beauty,4,399,1596
T1056,2024-02-03,C1056,Female,33,Home,2,2800,5600
T1057,2024-02-04,C1057,Male,41,Electronics,2,1999,3998
T1058,2024-02-04,C1058,Female,25,Books,5,249,1245
T1059,2024-02-05,C1059,Male,47,Sports,1,6500,6500
T1060,2024-02-05,C1060,Female,36,Clothing,3,800,2400
T1061,2024-02-06,C1061,Male,54,Electronics,1,7499,7499
T1062,2024-02-06,C1062,Female,28,Beauty,4,299,1196
T1063,2024-02-07,C1063,Male,40,Home,3,1200,3600
T1064,2024-02-07,C1064,Female,31,Electronics,2,2499,4998
T1065,2024-02-08,C1065,Male,43,Sports,2,3000,6000
T1066,2024-02-08,C1066,Female,26,Clothing,4,600,2400
T1067,2024-02-09,C1067,Male,37,Electronics,1,69999,69999
T1068,2024-02-09,C1068,Female,22,Books,6,199,1194
T1069,2024-02-10,C1069,Male,51,Beauty,3,499,1497
T1070,2024-02-10,C1070,Female,34,Home,1,18999,18999
T1071,2024-02-11,C1071,Male,48,Electronics,2,4299,8598
T1072,2024-02-11,C1072,Female,29,Sports,3,2500,7500
T1073,2024-02-12,C1073,Male,35,Clothing,2,950,1900
T1074,2024-02-12,C1074,Female,42,Electronics,1,5499,5499
T1075,2024-02-13,C1075,Male,55,Beauty,4,350,1400
T1076,2024-02-13,C1076,Female,30,Home,2,3500,7000
T1077,2024-02-14,C1077,Male,38,Electronics,1,89999,89999
T1078,2024-02-14,C1078,Female,25,Clothing,3,700,2100
T1079,2024-02-15,C1079,Male,44,Sports,2,2800,5600
T1080,2024-02-15,C1080,Female,32,Books,5,299,1495
T1081,2024-02-16,C1081,Male,50,Electronics,1,13999,13999
T1082,2024-02-16,C1082,Female,27,Beauty,4,449,1796
T1083,2024-02-17,C1083,Male,36,Home,3,800,2400
T1084,2024-02-17,C1084,Female,40,Electronics,2,1999,3998
T1085,2024-02-18,C1085,Male,46,Sports,1,5500,5500
